Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
Noonan_hNSC_P5-2_peaks.bed 2718 1490.4041175975 3.81388780327481e-256 82351 18433 3812599 8.06801815044002 7.73684953864342 8.41000237258884 0
Noonan_union.bed 8584 4858.2634039517 0 491980 18433 3812599 5.96930593618835 5.79640770444056 6.14523015546678 0
PGR-A_Bagchi.bed 759 501.752447676265 2.82659402777984e-31 38240 18433 3812599 4.30428754667656 3.99488303095806 4.63206097498463 1.65974548312182e-224
PGR-B_Bagchi.bed 1221 859.509221686814 4.6458422879017e-37 66947 18433 3812599 4.02415619499976 3.79209570812601 4.26693754405493 0
PGR_Demayo.bed 434 362.968629136649 7.02618308531409e-05 25735 18433 3812599 3.59214009563538 3.2554847111276 3.95437405841265 2.69764757683006e-105
PLZF.bed 99 49.1453437137671 6.19896886305937e-11 3808 18433 3812599 5.51909059932957 4.47100954745087 6.7422088378374 8.26176274293665e-40
POLII_DeMayo.bed 3739 2176.81657800472 6.88521129776207e-268 436893 18433 3812599 1.97449290502677 1.90405654562736 2.0470789296053 4.46359463311026e-261
PromoterFlanking_Hoffman.bed 3394 1866.22840806777 5.29586441289024e-301 129668 18433 3812599 6.55531537023349 6.3105017830844 6.80830680367539 0
Promoter_UCSC.bed 4312 2939.09552084471 1.32102378190044e-177 377648 18433 3812599 2.79796386983781 2.70312595718842 2.89563766901135 0
Promoter_UCSC.hg38.bed 3456 2607.98639673148 4.49242718036393e-75 281550 18433 3812599 2.91754433674752 2.81008991197289 3.02804857231841 0
Repressed_Hoffman.bed 11231 13396.5585871359 1 1546600 18433 3812599 2.29421125579626 2.22691822815653 2.36347423205524 0
SuperEnhancer_Hnisz.bed 7439 4952.43580953116 0 1008953 18433 3812599 1.88667108733115 1.83173304786277 1.94356465210604 0
TFBS_ENCODE.bed 14696 12721.1391039018 2.13248026021196e-299 1190661 18433 3812599 8.75551552153691 8.44698478485279 9.07882693685196 0
TSS_Hoffman.bed 5560 2636.40567969749 0 238703 18433 3812599 6.59704277435305 6.38965692014851 6.81130425597861 0
UTR_3_UCSC.bed 2673 1881.45444696465 3.88018530079649e-87 186430 18433 3812599 3.33235688750889 3.19635058332975 3.47254294741978 0
UTR_5_UCSC.bed 2325 1384.69146451071 1.50777263317998e-154 109049 18433 3812599 4.98765322833388 4.7702277289008 5.21158157219291 0
WeakEnhancer_Hoffman.bed 5968 4245.23109950576 2.2158389706335e-227 283471 18433 3812599 6.06630986541059 5.88132615408108 6.25921460907213 0
adult_peaks.bed 6 8.26884229690387 0.842369414265866 603 18433 3812599 2.06904758774389 0.756155519205061 4.53075266022207 0.0751302190339054
adult_peaks.hg38.bed 11 7.63462152852379 0.144381314670567 491 18433 3812599 4.71914341908562 2.33959515066036 8.5213142616499 3.63708674895928e-05
eQTL_0.05_FDR.bed 85 45.2488592500966 2.39619722406741e-08 2229 18433 3812599 8.19286697825675 6.51435103211435 10.1843083309658 1.21781179023936e-46
eQTL_0.1_FDR.bed 137 70.3299008657849 1.01807696596442e-13 3531 18433 3812599 8.36262602521082 6.99401709869294 9.92800110050935 5.03886681685051e-75
eur_ld_breakpoints.bed 18433 18432.9855535486 2.71281592981995 3812586 18433 3812599 Inf 0.0148063292266649 Inf 1
eur_ld_breakpoints_named.bed 18433 18432.9855535486 2.71281592981995 3812586 18433 3812599 Inf 0.0148063292266649 Inf 1
eur_ld_breakpoints_named_sorted.bed 18433 18432.9855535486 2.71281592981995 3812586 18433 3812599 Inf 0.0148063292266649 Inf 1
eur_ld_breakpoints_sorted.bed 18433 18432.9855535486 2.71281592981995 3812586 18433 3812599 Inf 0.0148063292266649 Inf 1
fantomFetalBrainCage.gt10.bed 0 NA NA 57 18433 3812599 0 0 13.7588785588268 1
h3k27ac-final-C-48h.bed 7271 4483.13794042036 0 477581 18433 3812599 4.60394943026888 4.46812858985967 4.7427468842855 0
h3k27ac-final-D-48h.bed 7548 4653.50077237602 0 502176 18433 3812599 4.62592308747653 4.49075414765531 4.76498424009836 0
h3k4me1-final-C-48h.bed 10184 6991.11409345871 0 763125 18433 3812599 4.98660445599373 4.84298780801806 5.1346318511824 0
h3k4me1-final-D-48h.bed 10022 6883.11419616673 0 748036 18433 3812599 4.93420911008018 4.79250818646768 5.08021557765165 0
h3k4me3-final-C-48h.bed 5795 2703.35731515526 0 250814 18433 3812599 6.64202016051309 6.43529932406915 6.85289566679015 0
h3k4me3-final-D-48h.bed 5741 2695.27044760539 0 267360 18433 3812599 6.10773791069409 5.91871780665076 6.30213558693835 0
hic_all_interacting_DT1_dTL4_D_48h.bed 6688 4598.11114662486 1.61315353639928e-308 389141 18433 3812599 5.07972308280555 4.9280335623359 5.23638859991618 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 9660 7088.19428087482 0 873360 18433 3812599 3.73569764164821 3.62853156595028 3.84591431637959 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 1140 769.06311010638 2.51366171434593e-47 52641 18433 3812599 4.79067372157439 4.50556683760782 5.09073979743197 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 273 159.682726500772 2.73573994735112e-18 13425 18433 3812599 4.32185507670488 3.81602405558349 4.87709067124242 2.17037528922742e-83
in.sorted.bed 0 NA NA 2 18433 3812599 0 0 1114.3629780585 1
ips_all_peaks.narrowPeak.cleaned.hg19.merged.bed 12529 10174.0097490864 0 850061 18433 3812599 7.49145875772668 7.26160179300495 7.73133942853089 0
ips_all_peaks.overlap.Conserved.bed 1753 1130.59957745668 3.48434101194262e-87 79071 18433 3812599 5.05211494060264 4.80445232106943 5.30932056367694 0
ips_all_peaks.overlap.footprint.bed 3109 1947.91089307555 1.04025946101483e-183 109490 18433 3812599 7.03253831105867 6.76224678523572 7.31391652293204 0
ips_footprint.hg19.bed 5678 4344.92818774654 1.06152836332979e-144 247158 18433 3812599 6.54924609213262 6.3436716739237 6.76032749243052 0
ips_footprint.hg19.s+.bed 3526 2633.37574991297 4.76089123591694e-94 139643 18433 3812599 6.35664219517651 6.12407095681415 6.59638925718995 0
ips_footprint.hg19.s-.bed 3510 2598.11089089634 2.27506582662146e-96 141865 18433 3812599 6.21549894341928 5.98595860921094 6.45016981986304 0
ips_merged_cutsite_peaks.narrowPeak.hg19.bed 11691 8918.0014558249 0 689777 18433 3812599 7.96783296851673 7.73052605092357 8.21493667302724 0
pooled_ASD_cand_peaks.bed 167 115.432994121671 3.47910678289459e-07 8898 18433 3812599 3.9639173149405 3.37832280340042 4.62375957069471 3.4022022507061e-47
pooled_ASD_cand_peaks.hg19.bed 382 443.411811409328 0.999199582404864 48207 18433 3812599 1.65772093588425 1.49348657252839 1.83546310973597 1.63099542066848e-19
pooled_ASD_sign_peaks.bed 46 29.8091989293906 0.00272930125404634 2326 18433 3812599 4.16070740831891 3.03623912159388 5.57057818606724 5.16531696752919e-15
pooled_ASD_sign_peaks.hg19.bed 126 109.503637242918 0.058596317677664 10173 18433 3812599 2.59227252915799 2.15582164529637 3.0921363042664 2.8528106771496e-20
